applicant_id,name,domain,university,application_date,status
1,Matthew Jones,Mobile App Development,IBA Karachi,2025-12-03,Under Review
2,Anthony Romero,Web Development,Bahria University,2026-01-11,Selected
3,Benjamin Davis,Web Development,NUST,2025-10-11,Selected
4,Becky Walker,Cybersecurity,FAST-NUCES,2025-12-21,Selected
5,Laura Sanders,UI/UX Design,COMSATS,2026-01-27,Rejected
6,Scott Roberts,Web Development,NUST,2026-04-01,Rejected
7,Eric Cabrera,Cybersecurity,COMSATS,2025-10-31,Selected
8,Margaret Watson,Cybersecurity,IBA Karachi,2025-11-07,Under Review
9,Anthony Harris,Web Development,NUST,2026-01-13,Under Review
10,Ernest Richards,Cybersecurity,UET Lahore,2026-02-06,Under Review
11,Robert Hale,UI/UX Design,FAST-NUCES,2025-12-26,Selected
12,Kelly Golden,Cybersecurity,LUMS,2025-11-18,Selected
13,William Wilson,Web Development,COMSATS,2026-02-15,Rejected
14,Brittany Burns,Mobile App Development,FAST-NUCES,2025-12-20,Selected
15,Pamela Berry,Cybersecurity,COMSATS,2025-10-12,Selected
16,Michael Wheeler,UI/UX Design,IBA Karachi,2026-03-14,Rejected
17,Ryan Duffy,Mobile App Development,GIKI,2026-01-19,Rejected
18,Amy Miles,Mobile App Development,LUMS,2025-12-30,Selected
19,Samantha Mitchell MD,Data Science,UET Lahore,2026-01-31,Selected
20,Joel Jackson,Cybersecurity,Punjab University,2026-02-04,Rejected
21,Randy Anderson,UI/UX Design,FAST-NUCES,2025-10-26,Selected
22,Seth Miller,Web Development,LUMS,2025-11-19,Rejected
23,Sophia Fuentes,Mobile App Development,GIKI,2025-12-26,Selected
24,Jason Howard,UI/UX Design,FAST-NUCES,2026-03-12,Selected
25,Brittany Thompson,Cybersecurity,Punjab University,2026-03-15,Rejected
26,John Lawrence,Mobile App Development,GIKI,2025-11-16,Rejected
27,Jason Wood,Cybersecurity,FAST-NUCES,2025-11-22,Rejected
28,Melissa Robertson,Web Development,GIKI,2026-01-16,Under Review
29,Amy Lam,Web Development,UET Lahore,2026-01-26,Selected
30,Rebecca Long,Cybersecurity,GIKI,2026-02-24,Under Review
31,Mark Brown,Mobile App Development,Punjab University,2025-12-17,Rejected
32,Christopher Peterson,Web Development,Punjab University,2025-10-17,Under Review
33,Christian Garcia,Data Science,GIKI,2025-10-14,Rejected
34,Shannon Mendez,Web Development,UET Lahore,2025-12-10,Selected
35,Gregory Diaz,Data Science,IBA Karachi,2025-11-01,Rejected
36,Wendy Owens,UI/UX Design,GIKI,2025-10-27,Under Review
37,Brian Cooper,Web Development,IBA Karachi,2026-01-01,Selected
38,Candice Johnson,Cybersecurity,LUMS,2025-11-22,Selected
39,Bridget Daniels,UI/UX Design,UET Lahore,2026-03-28,Under Review
40,Veronica Boyer,UI/UX Design,IBA Karachi,2025-10-09,Under Review
41,Jacob Jackson,Data Science,LUMS,2026-02-09,Selected
42,Peggy Rivera,Data Science,COMSATS,2026-02-23,Selected
43,Victoria Farrell,Web Development,LUMS,2025-11-14,Rejected
44,Natalie Perez,Mobile App Development,LUMS,2026-03-01,Selected
45,Allen Johnson,UI/UX Design,Punjab University,2026-01-07,Rejected
46,Michael Huber,Data Science,Bahria University,2025-11-25,Rejected
47,Virginia Friedman,Cybersecurity,NUST,2025-12-25,Rejected
48,Darrell Gonzalez,UI/UX Design,Bahria University,2025-12-10,Under Review
49,Stephanie Pittman,UI/UX Design,IBA Karachi,2025-11-11,Selected
50,Rebecca Miller,Web Development,IBA Karachi,2025-12-31,Rejected
51,Rachel Christensen,Web Development,COMSATS,2026-02-02,Selected
52,Richard Cook,UI/UX Design,Punjab University,2025-12-31,Selected
